ward-name,police_stations,population_density,streetlight_density,bus_stop_density
Kempegowda Ward,0.009708737864077669,,0.05292197931614749,0.12487257900101936
Chowdeswari Ward,0.0,,0.09404924499023685,0.11367521367521367
Atturu,0.009708737864077669,,0.11723874173778244,0.13699494949494948
Yelahanka Satellite Town,0.019417475728155338,,0.1928038765796938,0.177536231884058
Jakkuru,0.009708737864077669,,0.04479712020846491,0.12907801418439716
Thanisandra,0.009708737864077669,,0.1226030745648025,0.16333333333333333
Byatarayanapura,0.009708737864077669,,0.06365676474757474,0.22944444444444445
Kodigehalli,0.0,,0.15209302035004604,0.16374269005847952
Vidyaranyapura,0.019417475728155338,,0.07132133677740124,0.09427609427609428
Dodda Bommasandra,0.0,,0.10073630977950522,0.3055555555555555
Kuvempu Nagar,0.009708737864077669,,0.06983682607869572,0.12597809076682318
Shettihalli,0.0,,0.09609871566927966,0.21604938271604937
Mallasandra,0.0,,0.30385174524920994,0.029914529914529912
Bagalakunte,0.0,,0.19733977707826267,0.23514211886304912
T Dasarahalli,0.0,,0.37128571625000956,0.21604938271604937
Jalahalli,0.009708737864077669,,0.08898068539697301,0.24679487179487178
J P Park,0.0,,0.2297960309684873,0.35
Radhakrishna Temple Ward,0.009708737864077669,,0.28570965014522137,0.368421052631579
Sanjaya Nagar,0.0,,0.28075849421596566,0.23333333333333334
Ganga Nagar,0.0,,0.17509202879042435,0.3888888888888889
Hebbala,0.009708737864077669,,0.30386747634664407,0.3240740740740741
Vishwanath Nagenahalli,0.0,,0.47152007414071606,0.2074074074074074
Nagavara,0.0,,0.08910878147607919,0.25925925925925924
HBR Layout,0.009708737864077669,,0.05500356682161238,0.27898550724637683
Horamavu,0.019417475728155338,,0.0555093147645108,0.12666666666666668
Ramamurthy Nagar,0.0,,0.10162396234978811,0.1385083713850837
Banasavadi,0.009708737864077669,,0.1961899651276424,0.3545751633986928
Kammanahalli,0.0,,0.3495537295147286,0.35
Kacharkanahalli,0.0,,0.2405794206519543,0.5718954248366014
Kadugondanahalli,0.0,,0.5466140408520888,0.4444444444444445
Kushal Nagar,0.0,,0.4055060968683003,0.7777777777777778
Kaval Bairasandra,0.0,,0.28786501748181587,0.4131944444444445
Manorayana Palya,0.009708737864077669,,0.5527491688513838,0.24305555555555555
Gangenahalli,0.0,,0.42078814297563544,0.45959595959595956
Aramane Nagara,0.009708737864077669,,0.0867248460249245,0.23851851851851855
Mattikere,0.0,,0.6766787544371458,0.34567901234567905
Yeshwanthpura,0.0,,0.3030494592800714,0.24305555555555555
HMT Ward,0.009708737864077669,,0.08643224761265042,0.25427350427350426
Chokkasandra,0.009708737864077669,,0.134204278709996,0.3172514619883041
Dodda Bidarakallu,0.0,,0.06763651289471442,0.16580534022394486
Peenya Industrial Area,0.0,,0.11171154914932654,0.2404040404040404
Lakshmi Devi Nagar,0.009708737864077669,,0.3844830582573822,0.4148148148148148
Nandini Layout,0.009708737864077669,,0.501389383028713,0.5833333333333334
Marappana Palya,0.0,,0.15924205897659313,0.25277777777777777
Malleshwaram,0.009708737864077669,,0.22745104871097893,0.5617283950617284
Jayachamarajendra Nagar,0.0,,0.6210535939102032,0.6049382716049383
Devara Jeevanahalli,0.0,,0.1949835618067726,0.16666666666666666
Muneshwara Nagar,0.0,,0.326240243117407,0.0
Lingarajapura,0.0,,0.3571067537627497,0.30246913580246915
Benniganahalli,0.009708737864077669,,0.10468449419265706,0.23809523809523808
Vijnanapura,0.0,,0.2152002693092118,0.20370370370370372
KR Puram,0.009708737864077669,,0.12477286483388655,0.11342592592592594
Basavanapura,0.0,,0.08556404085426421,0.04938271604938271
Hudi,0.0,,0.056261890465757664,0.1062962962962963
Devasandra,0.009708737864077669,,0.06176363953636367,0.16666666666666666
A Narayanapura,0.0,,0.3492382086461933,0.12962962962962962
C.V. Raman Nagar,0.0,,0.11108812099101432,0.21604938271604937
New Tippa Sandra,0.009708737864077669,,0.15288317925026487,0.20588235294117646
Maruthi Seva Nagar,0.0,,0.17799510022777199,0.14583333333333334
Sagayara Puram,0.0,,0.31133188207911977,0.7777777777777778
SK Garden,0.009708737864077669,,0.150945478189854,0.14957264957264957
Ramaswamy Palya,0.009708737864077669,,0.4343411984649875,0.14583333333333334
Jaya Mahal,0.0,,0.47755002851716616,1.0
Raj Mahal Guttahalli,0.009708737864077669,,0.6833397505506663,0.3888888888888889
Kadu Malleshwara Ward,0.009708737864077669,,0.22338043997493867,0.5277777777777778
Subramanya Nagar,0.009708737864077669,,0.5400699043195073,0.5185185185185185
Nagapura,0.0,,0.3449728339419215,0.6481481481481483
Mahalakshmipuram,0.009708737864077669,,0.648320829462626,0.30246913580246915
Laggere,0.0,,0.5483012010518948,0.2673611111111111
Rajagopal Nagar,0.009708737864077669,,0.2458812211048211,0.08838383838383837
Hegganahalli,0.0,,0.25771768017416835,0.2808641975308642
Herohalli,0.0,,0.11139749924055144,0.29415954415954415
Kottegepalya,0.0,,0.2112975622699229,0.40900383141762453
Shakthi Ganapathi Nagar,0.0,,0.41094006738196176,0.6111111111111112
Shankar Matt,0.0,,0.47210012260610396,0.2828282828282828
Gayithri Nagar,0.0,,0.5952860563131636,0.5833333333333334
Dattatreya Temple Ward,0.009708737864077669,,0.6493336124974304,0.2777777777777778
Pulakeshi Nagar,0.0,,0.3282034840771815,0.7091503267973857
Sarvagna Nagar,0.009708737864077669,,0.06807405690706725,0.17283950617283952
Hoysala Nagar,0.009708737864077669,,0.3446806849895741,0.35185185185185186
Vijnana Nagar,0.0,,0.09670465423711126,0.11598440545808966
Garudachar palya,0.0,,0.13155458720565646,0.1315359477124183
Kadugodi,0.019417475728155338,,0.07335464922074629,0.10069444444444445
Hagadur,0.019417475728155338,,0.05477154127684953,0.10185185185185186
Dodda Nekkundi,0.0,,0.08110097869223727,0.11018518518518519
Marathahalli,0.009708737864077669,,0.1150176814694159,0.12544802867383512
HAL Airport,0.009708737864077669,,0.08795908942242976,0.14869281045751634
Jeevanbhima Nagar,0.0,,0.20834245705937313,0.32748538011695905
Jogupalya,0.009708737864077669,,0.6813141844810576,0.08641975308641976
Halsoor,0.0,,0.37122155804870977,0.20588235294117646
Bharathi Nagar,0.009708737864077669,,0.5082694908564941,0.24305555555555555
Shivaji Nagar,0.009708737864077669,,1.0,0.19444444444444445
Vasanth Nagar,0.009708737864077669,,0.12562551568755204,0.3888888888888889
Gandhi Nagar,0.019417475728155338,,0.24592818859189708,0.32748538011695905
Subhash Nagar,0.0,,0.22418946784297758,0.3888888888888889
Okalipuram,0.0,,0.43894254446445885,0.4375
Dayananda Nagar,0.0,,0.7122624968330576,0.6805555555555556
Prakash Nagar,0.0,,0.3691043374058158,0.2592592592592593
Rajaji Nagar,0.009708737864077669,,0.37210373331658225,0.5617283950617284
Basaveshwara Nagar,0.0,,0.3536642652742563,0.3888888888888889
Kamakshipalya,0.009708737864077669,,0.42500217028828263,0.6481481481481483
Vrisahbhavathi Nagar,0.0,,0.2847667778421718,0.07777777777777778
Kaveripura,0.0,,0.28388620652933183,0.18300653594771243
Govindaraja Nagar,0.0,,0.3266697020773577,0.3402777777777778
Agrahara Dasarahalli,0.009708737864077669,,0.42299121166629144,0.3888888888888889
Dr.Raj Kumar Ward,0.0,,0.3613331752733752,0.4666666666666667
Shiva Nagar,0.0,,0.31685349727848544,0.7777777777777778
Sri Rama Mandir Ward,0.0,,0.4526908085719702,0.3181818181818182
Chickpete,0.009708737864077669,,0.3604567284163331,0.05555555555555556
Sampangiram Nagar,0.058252427184466014,,0.1119123351565762,0.7866161616161617
Shantala Nagar,0.009708737864077669,,0.09427105346405752,0.5347222222222222
Domlur,0.0,,0.28388620652933183,0.36601307189542487
Konena Agrahara,0.0,,0.27666840888310223,0.16666666666666666
Agaram,0.0,,0.02410192131939186,0.07777777777777778
Vannar Pet,0.009708737864077669,,0.2944602800810581,0.6319444444444444
Nilasandra,0.0,,0.48379033013930633,0.23333333333333334
Shanthi Nagar,0.0,,0.10270344605864429,0.30246913580246915
Sudham Nagar,0.009708737864077669,,0.351516970474503,0.27222222222222225
Dharmaraya Swamy Temple,0.009708737864077669,,0.3855390439251397,0.5656565656565656
Cottonpete,0.009708737864077669,,0.2975278440807057,0.14583333333333334
Binni Pete,0.019417475728155338,,0.21347659049036222,0.2916666666666667
Kempapura Agrahara,0.0,,0.39016827687006245,0.19444444444444445
Vijaya Nagar,0.0,,0.5729074465633537,0.3333333333333333
Hosahalli,0.0,,0.3614695114511373,0.25925925925925924
Marenahalli,0.009708737864077669,,0.23074259357409285,0.5555555555555556
Maruthi Mandir Ward,0.0,,0.5668599632497627,0.3888888888888889
Mudalapalya,0.0,,0.48747140693888347,0.3111111111111111
Nagarabhavi,0.009708737864077669,,0.40013785986891703,0.6805555555555556
Jnana Bharathi Ward,0.009708737864077669,,0.11228822305997076,0.2483660130718954
Ullalu,0.0,,0.13684390546928135,0.1877394636015326
Nayandahalli,0.0,,0.18318074413193808,0.18518518518518517
Attiguppe,0.0,,0.4072589905823847,0.638888888888889
Hampi Nagar,0.0,,0.3520747093835298,0.3888888888888889
Bapuji Nagar,0.0,,0.3488876299033766,0.11111111111111112
Padarayanapura,0.0,,0.7069453859003352,0.0
Jagajivanaram Nagar,0.009708737864077669,,0.38791872993698756,0.3240740740740741
Rayapuram,0.0,,0.5834248088478596,0.4861111111111111
Chelavadi Palya,0.0,,0.4018250200687232,0.7777777777777778
KR Market,0.019417475728155338,,0.3361791504762651,0.4861111111111111
Chamraja Pet,0.019417475728155338,,0.5237913646947108,0.8166666666666667
Azad Nagar,0.0,,0.44950372909181696,0.22222222222222224
Sunkenahalli,0.009708737864077669,,0.26456175629782647,0.362962962962963
Vishveshwara Puram,0.009708737864077669,,0.15278790432133463,0.4977777777777778
Siddapura,0.0,,0.42881958326562186,0.22222222222222224
Hombegowda Nagar,0.009708737864077669,,0.31838727927830923,0.47222222222222227
